"Id","DirName","Title","Size","DeletedDate","ItemType","ItemState","DeletedByName"
"a1bffe25-e354-4a2e-870e-df653c568e51","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","WELLSPRINGS_ADDITION_SUBDIVISION_IMPROVEMENT_PLANS_Wed_Jun_15_2022_12-28-45--JUB1 (1).pdf","34431378","1/25/2024 4:54:59 PM","File","FirstStageRecycleBin","Ethan Porter"
"7ec3a8ed-1f4f-402b-9192-612da27fa78d","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/106 PLAN Recorded-Signed Docs for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198587)","Wellsprings Subd Reasoned Decision.pdf","15676855","1/25/2024 4:54:45 PM","File","FirstStageRecycleBin","Ethan Porter"
"bceb3b84-1097-4d1a-8ef0-2889209508f1","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/PLANS","Wellsprings Street Tree Plan with Approved Species Substitutions (10-11-23).pdf","6014527","1/25/2024 4:54:48 PM","File","FirstStageRecycleBin","Ethan Porter"
"fb0f2244-bc5e-47a4-bb19-03a9b79ceb8a","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/CONSTRUCTION","Wellsprings Sewer Reports.pdf","3508890","1/25/2024 4:54:54 PM","File","FirstStageRecycleBin","Ethan Porter"
"799b495d-3be9-41c9-a5b6-0744a3748603","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/104 PLAN Staff Submittals for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198585)","Wellsprings MDA.pdf","22640987","1/25/2024 4:55:06 PM","File","FirstStageRecycleBin","Ethan Porter"
"44157d95-6135-4638-821e-c3cd5c6fd90e","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/CONSTRUCTION","Wellsprings Irrigation Sleeve Overview 091223 JDS Edits.pdf","2428139","1/25/2024 4:54:48 PM","File","FirstStageRecycleBin","Ethan Porter"
"95658edc-46d8-4c4c-8457-fa74bf39d56e","sites/Subdivisions/Subdivision Documents","Wellsprings Addition Subdivision SUBD-0001-2022","1633","1/25/2024 4:56:16 PM","Folder","FirstStageRecycleBin","Ethan Porter"
"c779ceb5-2027-424e-a494-815dbea76606","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","WELLSPRINGS ADDITION SUBDIVISION IMPROVEMENT PLANS.pdf","34212376","1/25/2024 4:55:03 PM","File","FirstStageRecycleBin","Ethan Porter"
"7e8eef20-2180-4f7e-9ae0-6cf5a2edb422","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","WELLSPRINGS ADDITION SUBDIVISION - DRAINAGE CALCULATIONS.pdf","5742201","1/25/2024 4:55:17 PM","File","FirstStageRecycleBin","Ethan Porter"
"8c1c9303-726d-4d82-8ae6-40f726f8fbea","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","Wellsprings Add 3rd Review Letter 031323.pdf","121245","1/25/2024 4:55:07 PM","File","FirstStageRecycleBin","Ethan Porter"
"1d7991a0-fc51-4687-a520-258dba7f1a70","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","Wellsprings 2nd Review Letter 091522.pdf","121655","1/25/2024 4:54:52 PM","File","FirstStageRecycleBin","Ethan Porter"
"d91726e2-b90a-43d6-989c-8d4a0ac45885","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","Wellsprings 1st Review Letter 071322.pdf","121620","1/25/2024 4:55:23 PM","File","FirstStageRecycleBin","Ethan Porter"
"b28b8675-19f0-41c6-875a-32ed7e18e960","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/CONSTRUCTION","Wellspring Precon Sign In Sheet.pdf","386715","1/25/2024 4:54:51 PM","File","FirstStageRecycleBin","Ethan Porter"
"dcb73631-9e86-47b1-b23f-1836f03876b1","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/106 PLAN Recorded-Signed Docs for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198587)","Wellspring MDA.pdf","14328241","1/25/2024 4:54:47 PM","File","FirstStageRecycleBin","Ethan Porter"
"6298ca1d-900f-4f72-aa78-c705b433479f","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/LEGAL","Wellspring CIA Review 1.pdf","1765099","1/25/2024 4:54:46 PM","File","FirstStageRecycleBin","Ethan Porter"
"9eeed585-48c2-4250-a204-69551f0f4ab7","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/204 ENG Design for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198593)","Trans & QLPE - Wellsprings Addition.pdf","567834","1/25/2024 4:54:54 PM","File","FirstStageRecycleBin","Ethan Porter"
"652f784d-e479-49e6-a6db-5e5ad9480a5d","sites/Subdivisions/Subdivision Documents/Wellsprings Addition Subdivision SUBD-0001-2022/103 PLAN Maps for Wellsprings Addition Subdivision SUBD-0001-2022 (ID 198584)","SUBD-0001-2022_NotificationMap.jpg","665967","1/25/2024 4:54:56 PM","File","FirstStageRecycleBin","Ethan Porter"
